system_id,system_name,owner,risk_level,last_assessment_date
AI-001,Customer Churn Predictor,Data Science Team,High,2026-02-05
AI-002,Resume Screening Engine,HR Technology,High,2025-08-11
AI-003,Fraud Detection Model,Risk & Compliance,Critical,2025-03-24
AI-004,Demand Forecasting System,Supply Chain Analytics,Medium,2026-01-12
AI-005,Sentiment Analysis Pipeline,Product Analytics,Low,2026-04-20
AI-006,Loan Approval Assistant,Credit Risk,Critical,2025-03-03
AI-007,Predictive Maintenance AI,Engineering Ops,Medium,2026-03-18
AI-008,Chatbot - Customer Support,CX Technology,Medium,2026-05-27
AI-009,Image Classification Service,Computer Vision Team,High,
AI-010,Employee Attrition Model,People Analytics,Medium,2026-06-15
